"domain","brand","market","language","batch","owner","repoUrl","deployUrl","siteType","positioning","status","registerTarget","primaryKeywords","secondaryKeywords","competitors","sitemapUrl","robotsUrl","feedUrl","gscProperty","gscConnected","weeklyUpdateTarget"
"k1pakistan.com","K1 Pakistan","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1pakistan.com","https://k1pakistan.com/","authority","K1 Game download authority site for Pakistan Android users","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K1 game download|K1 Pakistan|K 1 download","K1 game APK|K1 game download Pakistan|K1 game download Android|K1 APK install","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1pakistan.com/sitemap.xml","https://k1pakistan.com/robots.txt","https://k1pakistan.com/feed.xml","sc-domain:k1pakistan.com","True","3"
"k1pakistanapp.com","K1 Pakistan App","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1pakistanapp.com","https://k1pakistanapp.com/","authority","K1 login, OTP, password and account-access help site","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K1 login|K1Login|K1 app login","K1 login password|K1 game login|K1 OTP not received|K1 register Pakistan","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1pakistanapp.com/sitemap.xml","https://k1pakistanapp.com/robots.txt","https://k1pakistanapp.com/feed.xml","sc-domain:k1pakistanapp.com","True","3"
"k1pkapp.com","K1 PK App","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1pkapp.com","https://k1pkapp.com/","authority","K1 latest version, APK update and changelog tracker","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K1 update|K1 game latest version","K1 game news and updates|K1 update latest version|K1 APK version check|K1 changelog","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1pkapp.com/sitemap.xml","https://k1pkapp.com/robots.txt","https://k1pkapp.com/feed.xml","sc-domain:k1pkapp.com","True","3"
"k1onlinepk.com","K1 Online PK","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1onlinepk.com","https://k1onlinepk.com/","authority","K1 Pakistan wallet, withdrawal, deposit and support guide","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K-1 support|K1 support|K1 wallet Pakistan","K1 withdrawal pending|K1 JazzCash deposit|K1 Easypaisa withdrawal|K1 payment support","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1onlinepk.com/sitemap.xml","https://k1onlinepk.com/robots.txt","https://k1onlinepk.com/feed.xml","sc-domain:k1onlinepk.com","True","3"
"k1earningpk.com","K1 Earning PK","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1earningpk.com","https://k1earningpk.com/","authority","K1 game library, earning app and game-mode guide site","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K1 fishing|K1 game earning app","K1 fishing game guide|K1 teen patti guide|K1 mines guide|K1 crash games","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1earningpk.com/sitemap.xml","https://k1earningpk.com/robots.txt","https://k1earningpk.com/feed.xml","sc-domain:k1earningpk.com","True","3"
"k1gamebonus.com","K1 Game Bonus","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1gamebonus.com","https://k1gamebonus.com/","authority","K1 safety review, real-or-fake and scam-risk authority site","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","is K1 game real|is K1 game safe|is K1 game real or fake","K1 game review Pakistan|K1 game scam red flags|K1 bonus safety|K1 safe source checklist","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1gamebonus.com/sitemap.xml","https://k1gamebonus.com/robots.txt","https://k1gamebonus.com/feed.xml","sc-domain:k1gamebonus.com","True","3"
"k1gamehubpk.com","K1 Game Hub PK","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1gamehubpk.com","https://k1gamehubpk.com/","authority","Roman Urdu K1 help center for Pakistan mobile users","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K1 game kaise use kare|K1 game Pakistan Roman Urdu","K1 game download kaise kare|K1 game login kaise kare|K1 game se paisa kaise nikale|K1 OTP masla","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1gamehubpk.com/sitemap.xml","https://k1gamehubpk.com/robots.txt","https://k1gamehubpk.com/feed.xml","sc-domain:k1gamehubpk.com","True","3"
"k1pkhub.com","K1 PK Hub","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1pkhub.com","https://k1pkhub.com/","authority","K1 agent, referral, invitation and bonus-code notes site","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","agents K1|agent K1|K1 game bonus code","K1 agent code|K1 referral code|K1 invitation code|agents K1 Pakistan","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1pkhub.com/sitemap.xml","https://k1pkhub.com/robots.txt","https://k1pkhub.com/feed.xml","sc-domain:k1pkhub.com","True","3"
"k1bonuspk.com","K1 Bonus PK","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1bonuspk.com","https://k1bonuspk.com/","authority","K1 troubleshooting, app crash, not opening and login-error fix center","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K1 game not working|K1 game app crash|K1 game not opening","K1 login error|K1 OTP problem|K1 support evidence|K1 app fix Pakistan","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1bonuspk.com/sitemap.xml","https://k1bonuspk.com/robots.txt","https://k1bonuspk.com/feed.xml","sc-domain:k1bonuspk.com","True","3"
"k1pkonline.com","K1 PK Online","Pakistan","en-PK","K1-P1","alexgkbet888-web","https://github.com/alexgkbet888-web/k1pkonline.com","https://k1pkonline.com/","authority","K1 alternatives, official-link comparison and feature-matrix site","active","https://b9.game/refer/MDMxMjMxMjM1NTU=","K1 game alternative|apps like K1 game|K1 game comparison","K1 official link comparison|K1 game feature matrix|K1 game vs other apps|K1 safe choice checklist","https://k1game.org/|https://k1.game/|https://game-hacker-en.uptodown.com/android","https://k1pkonline.com/sitemap.xml","https://k1pkonline.com/robots.txt","https://k1pkonline.com/feed.xml","sc-domain:k1pkonline.com","True","3"
